video_id,clip_start_sec,clip_end_sec,label,sublabel,mahal_x,score_x,anomaly_score,binary_ood
recording_trim,2.0,3.966666666666667,3,,10.523990631103516,0.6280728781265238,0.3719271218734762,0
recording_trim,4.0,5.966666666666667,3,,7.161327838897705,0.7287030510600723,0.27129694893992773,0
recording_trim,6.0,7.966666666666667,3,,3.581458330154419,0.8536110857818145,0.14638891421818545,0
recording_trim,8.0,9.966666666666667,3,,4.816009044647217,0.8082858236613892,0.19171417633861076,0
recording_trim,10.0,11.966666666666667,3,,1.8511803150177002,0.9214457411438114,0.07855425885618861,0
recording_trim,12.0,13.966666666666667,3,,8.473566055297852,0.6876452141535693,0.3123547858464307,0
recording_trim,14.0,15.966666666666667,3,,4.847752571105957,0.807152691522541,0.192847308477459,0
recording_trim,16.0,17.966666666666665,3,,11.034223556518555,0.6140687454238315,0.3859312545761685,0
recording_trim,18.0,19.966666666666665,3,,6.876021385192871,0.7379493528465466,0.2620506471534534,0
recording_trim,20.0,21.966666666666665,3,,9.17241096496582,0.6667319922242563,0.3332680077757437,0
recording_trim,22.0,23.966666666666665,3,,8.942597389221191,0.6735381074878131,0.32646189251218694,0
recording_trim,24.0,25.966666666666665,3,,6.2597270011901855,0.758324819635592,0.24167518036440805,0
recording_trim,26.0,27.966666666666665,3,,9.797205924987793,0.6485738382535863,0.3514261617464137,0
recording_trim,28.0,29.966666666666665,3,,4.656281471252441,0.8140117218999906,0.1859882781000094,0
recording_trim,30.0,31.966666666666665,3,,7.664572715759277,0.7126752309596601,0.2873247690403399,0
recording_trim,32.0,33.96666666666667,3,,4.234585285186768,0.8293243066069658,0.17067569339303423,0
recording_trim,40.0,41.96666666666667,1,,38.9635009765625,0.1787155693547225,0.8212844306452776,0
recording_trim,42.0,43.96666666666667,1,,30.290531158447266,0.26219546618430273,0.7378045338156973,0
recording_trim,44.0,45.96666666666667,1,,44.552791595458984,0.13960003804555765,0.8603999619544423,0
recording_trim,46.0,47.96666666666667,1,,16.459503173828125,0.4831567497557321,0.5168432502442679,0
recording_trim,48.0,49.96666666666667,1,,13.690443992614746,0.5460537518126104,0.4539462481873896,0
recording_trim,50.0,51.96666666666667,1,,32.16356658935547,0.24136565548741057,0.7586343445125894,0
recording_trim,52.0,53.96666666666667,1,,34.21097946166992,0.2204849207568883,0.7795150792431117,0
recording_trim,54.0,55.96666666666667,1,,24.755558013916016,0.33485709040495165,0.6651429095950483,0
recording_trim,56.0,57.96666666666667,1,,36.125640869140625,0.20259571203412577,0.7974042879658743,0
recording_trim,58.0,59.96666666666667,1,,31.45840072631836,0.24900606386836152,0.7509939361316385,0
recording_trim,60.0,61.96666666666667,1,,37.075531005859375,0.19426686703986806,0.8057331329601319,0
recording_trim,62.0,63.96666666666667,1,,34.69275665283203,0.2158400363837583,0.7841599636162417,0
recording_trim,70.0,71.96666666666667,2,,12.611733436584473,0.5727161044713657,0.4272838955286343,0
recording_trim,72.0,73.96666666666667,2,,23.231847763061523,0.3581826173548959,0.6418173826451041,0
recording_trim,74.0,75.96666666666667,2,,22.948495864868164,0.36269616172518,0.63730383827482,0
recording_trim,76.0,77.96666666666667,2,,5.849850177764893,0.7721864090525544,0.22781359094744558,0
recording_trim,78.0,79.96666666666667,2,,4.080955982208252,0.8349741789300774,0.16502582106992258,0
recording_trim,80.0,81.96666666666667,2,,2.416505813598633,0.898709460075628,0.10129053992437198,0
recording_trim,88.0,89.96666666666667,3,,14.857002258300781,0.5186152810688531,0.48138471893114687,0
recording_trim,90.0,91.96666666666667,3,,12.662415504455566,0.5714347406606073,0.4285652593393927,0
recording_trim,92.0,93.96666666666667,3,,13.437639236450195,0.5521887436745874,0.44781125632541263,0
recording_trim,94.0,95.96666666666667,3,,14.035231590270996,0.5377962733733127,0.4622037266266873,0
recording_trim,96.0,97.96666666666667,3,,13.80201244354248,0.543367964762967,0.456632035237033,0
recording_trim,98.0,99.96666666666667,3,,13.760233879089355,0.5443721493669866,0.45562785063301336,0
recording_trim,100.0,101.96666666666667,3,,13.382320404052734,0.5535403697360415,0.4464596302639585,0
recording_trim,102.0,103.96666666666667,3,,13.789654731750488,0.5436648001747346,0.4563351998252654,0
recording_trim,104.0,105.96666666666667,3,,13.376912117004395,0.5536726898771802,0.4463273101228198,0
recording_trim,106.0,107.96666666666667,3,,12.235162734985352,0.582327130840493,0.41767286915950697,0
recording_trim,108.0,109.96666666666667,3,,12.715019226074219,0.5701078247274782,0.42989217527252177,0
recording_trim,110.0,111.96666666666667,3,,8.33164119720459,0.6919718528183003,0.3080281471816997,0
recording_trim,112.0,113.96666666666667,3,,10.257527351379395,0.6355128636540892,0.3644871363459108,0
recording_trim,114.0,115.96666666666667,3,,10.4653959274292,0.6297014084717069,0.37029859152829314,0
recording_trim,116.0,117.96666666666667,3,,10.801816940307617,0.6204083582110743,0.3795916417889257,0
recording_trim,118.0,119.96666666666667,3,,19.59204864501953,0.42069195839479523,0.5793080416052048,0
recording_trim,120.0,121.96666666666667,3,,28.24254608154297,0.2870336017623221,0.7129663982376779,0
recording_trim,122.0,123.96666666666667,3,,12.830730438232422,0.5671998709540995,0.4328001290459005,0
recording_trim,124.0,125.96666666666667,3,,20.97527503967285,0.39574510424983894,0.604254895750161,0
recording_trim,126.0,127.96666666666667,3,,1.7221602201461792,0.9267147738168695,0.07328522618313049,0
recording_trim,128.0,129.96666666666667,3,,5.210294723510742,0.794323340576074,0.205676659423926,0
recording_trim,130.0,131.96666666666667,3,,9.881770133972168,0.6461544823708816,0.3538455176291184,0
recording_trim,132.0,133.96666666666667,3,,5.845975399017334,0.7723186516185199,0.22768134838148013,0
recording_trim,134.0,135.96666666666667,3,,12.548645973205566,0.5743151213539368,0.4256848786460632,0
recording_trim,136.0,137.96666666666667,3,,11.191128730773926,0.6098253413824241,0.39017465861757594,0
recording_trim,138.0,139.96666666666667,3,,5.183707237243652,0.7952572285822522,0.20474277141774777,0
recording_trim,140.0,141.96666666666667,3,,11.035825729370117,0.6140252667783266,0.3859747332216734,0
recording_trim,142.0,143.96666666666667,3,,3.1693973541259766,0.8692983407782746,0.13070165922172539,0
recording_trim,144.0,145.96666666666667,3,,8.13627815246582,0.6979721400730653,0.3020278599269347,0
recording_trim,146.0,147.96666666666667,3,,5.460798263549805,0.785578046136475,0.21442195386352503,0
recording_trim,148.0,149.96666666666667,3,,11.054194450378418,0.6135270091989428,0.38647299080105724,0
recording_trim,150.0,151.96666666666667,3,,6.898789405822754,0.73720719142791,0.26279280857209,0
recording_trim,152.0,153.96666666666667,3,,12.491827011108398,0.5757590773294117,0.4242409226705883,0
recording_trim,154.0,155.96666666666667,3,,12.86306381225586,0.5663899513446253,0.43361004865537467,0
recording_trim,156.0,157.96666666666667,3,,9.118897438049316,0.6683106701651724,0.3316893298348276,0
recording_trim,158.0,159.96666666666667,3,,8.099124908447266,0.6991191216508992,0.3008808783491008,0
recording_trim,160.0,161.96666666666667,3,,11.245845794677734,0.6083524582858743,0.39164754171412575,0
recording_trim,162.0,163.96666666666667,3,,12.765074729919434,0.5688480479968323,0.4311519520031677,0
recording_trim,164.0,165.96666666666667,3,,20.589759826660156,0.4025453873907627,0.5974546126092373,0
recording_trim,166.0,167.96666666666667,3,,17.161211013793945,0.4684033278448187,0.5315966721551812,0
recording_trim,168.0,169.96666666666667,3,,23.83338737487793,0.34878595148514385,0.6512140485148561,0
recording_trim,170.0,171.96666666666667,3,,24.361968994140625,0.3407326617111962,0.6592673382888038,0
recording_trim,172.0,173.96666666666667,3,,30.522769927978516,0.25951815955898816,0.7404818404410118,0
recording_trim,174.0,175.96666666666667,3,,22.978839874267578,0.3622101018452349,0.6377898981547652,0
recording_trim,176.0,177.96666666666667,3,,29.72575569152832,0.2688221651530759,0.7311778348469241,0
recording_trim,178.0,179.96666666666667,3,,27.62430191040039,0.2949842834803677,0.7050157165196322,0
recording_trim,180.0,181.96666666666667,3,,36.87563705444336,0.19599065217754472,0.8040093478224553,0
recording_trim,182.0,183.96666666666667,3,,33.283870697021484,0.22970643218668638,0.7702935678133136,0
recording_trim,184.0,185.96666666666667,3,,22.643522262573242,0.3676176928804161,0.6323823071195839,0
recording_trim,186.0,187.96666666666667,3,,26.077003479003906,0.3158614456869242,0.6841385543130758,0
recording_trim,188.0,189.96666666666667,3,,14.87013053894043,0.5183144711175969,0.4816855288824031,0
recording_trim,190.0,191.96666666666667,3,,19.600536346435547,0.4205341835097354,0.5794658164902646,0
